"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","jguiang-MacBookPro",,,,"User:","jguiang"
"Cmdline:","dstat -cdngytlmrs --float --nocolor -T --output dsout.csv 2",,,,"Date:","04 Jun 2017 11:48:30 PDT"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",,"system","load avg",,,"memory usage",,,,"io/total",,"swap",,"epoch"
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw","time","1m","5m","15m","used","buff","cach","free","read","writ","used","free","epoch"
5.265,0.767,93.265,0.664,0.0,0.039,696771.435,61948747.540,0.0,0.0,0.0,0.0,420.909,1338.790,04-06 11:48:30,0.180,0.120,0.120,1188651008.0,128344064.0,1408466944.0,5513371648.0,32.406,7.406,0.0,8191471616.0,1496602110.888
0.251,0.125,99.624,0.0,0.0,0.0,0.0,0.0,391.0,410.0,0.0,0.0,121.0,234.0,04-06 11:48:32,0.180,0.120,0.120,1189363712.0,128344064.0,1410060288.0,5511065600.0,0.0,0.0,0.0,8191471616.0,1496602112.890
0.500,0.0,99.500,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,54.0,146.0,04-06 11:48:34,0.180,0.120,0.120,1185116160.0,128344064.0,1410715648.0,5514657792.0,0.0,0.0,0.0,8191471616.0,1496602114.890
0.500,0.250,99.125,0.125,0.0,0.0,0.0,26624.0,209.0,233.0,0.0,0.0,104.0,258.0,04-06 11:48:36,0.170,0.110,0.120,1185406976.0,128352256.0,1410707456.0,5514366976.0,0.0,1.0,0.0,8191471616.0,1496602116.890
0.250,0.125,99.625,0.0,0.0,0.0,0.0,0.0,63.0,0.0,0.0,0.0,81.500,143.0,04-06 11:48:38,0.170,0.110,0.120,1185267712.0,128352256.0,1410719744.0,5514493952.0,0.0,0.0,0.0,8191471616.0,1496602118.890
0.375,0.125,99.499,0.0,0.0,0.0,0.0,0.0,593.0,675.0,0.0,0.0,84.500,197.500,04-06 11:48:40,0.160,0.110,0.110,1185382400.0,128352256.0,1410715648.0,5514383360.0,0.0,0.0,0.0,8191471616.0,1496602120.890
0.375,0.125,99.250,0.250,0.0,0.0,0.0,907264.0,137.0,128.0,0.0,0.0,220.0,164.500,04-06 11:48:42,0.160,0.110,0.110,1185193984.0,128360448.0,1410715648.0,5514563584.0,0.0,129.500,0.0,8191471616.0,1496602122.890
0.375,0.125,99.500,0.0,0.0,0.0,0.0,0.0,409.0,333.0,0.0,0.0,69.0,121.0,04-06 11:48:44,0.160,0.110,0.110,1185398784.0,128360448.0,1410715648.0,5514358784.0,0.0,0.0,0.0,8191471616.0,1496602124.890
